Tytuł,Cena,Lokalizacja,Data,Link
Brak,850.0,Jastrzębie-Zdrój - Odświeżono Dzisiaj o 14:34,2025-07-27 16:36:27,https://www.olx.pl/d/oferta/iphone-13-mini-128gb-bez-blokad-CID99-ID16H4wT.html
Brak,,"Gliwice, Bojków - 21 lipca 2025",2025-07-27 16:36:27,https://www.olx.pl/d/oferta/iphone-13-128gb-midnight-blue-stan-bardzo-dobry-CID99-ID16HOyQ.html
Brak,,Ruda Śląska - Dzisiaj o 12:31,2025-07-27 16:36:27,https://www.olx.pl/d/oferta/iphone-13-128gb-100-bateria-CID99-ID16Mw5j.html
Brak,,Chorzów - Dzisiaj o 14:01,2025-07-27 16:36:27,https://www.olx.pl/d/oferta/iphone-13-128-gb-CID99-ID16MAs7.html
Brak,700.0,Tarnowskie Góry - Dzisiaj o 13:55,2025-07-27 16:36:27,https://www.olx.pl/d/oferta/iphone-13-midnigt-128gb-CID99-ID16MA7d.html
Brak,,Zabrze - Dzisiaj o 10:19,2025-07-27 16:36:27,https://www.olx.pl/d/oferta/iphone-13-dobry-stan-CID99-ID16ohKN.html
Brak,,Radzionków - Dzisiaj o 09:09,2025-07-27 16:36:27,https://www.olx.pl/d/oferta/iphone-13-128-gb-85-kondycji-bateri-CID99-ID16MjEE.html
Brak,,Jastrzębie-Zdrój - 26 lipca 2025,2025-07-27 16:36:27,https://www.olx.pl/d/oferta/iphone-13-mini-128gb-CID99-ID16M90M.html
Brak,999.0,Bielsko-Biała - 26 lipca 2025,2025-07-27 16:36:27,https://www.olx.pl/d/oferta/iphone-13-mini-czarny-88-okazja-CID99-ID16M1zF.html
Brak,999.0,Dąbrowa Górnicza - 26 lipca 2025,2025-07-27 16:36:27,https://www.olx.pl/d/oferta/iphone-13-mini-128gb-CID99-ID16LVMq.html
Brak,,"Katowice, Bogucice - 26 lipca 2025",2025-07-27 16:36:27,https://www.olx.pl/d/oferta/iphone-13-128gb-czarny-polnoc-90-brak-rat-CID99-ID16LV6E.html
Brak,,"Katowice, Bogucice - 26 lipca 2025",2025-07-27 16:36:27,https://www.olx.pl/d/oferta/sprzedam-iphone-13-CID99-ID16LUdL.html
Brak,,Bielsko-Biała - 25 lipca 2025,2025-07-27 16:36:27,https://www.olx.pl/d/oferta/iphone-13-128gb-midnight-CID99-ID16LxpM.html
Brak,,Bielsko-Biała - Odświeżono dnia 25 lipca 2025,2025-07-27 16:36:27,https://www.olx.pl/d/oferta/iphone-13-czarny-okazja-CID99-ID16FTFa.html
Brak,1200.0,Radzionków - 25 lipca 2025,2025-07-27 16:36:27,https://www.olx.pl/d/oferta/iphone-13-128-gb-CID99-ID16LnnQ.html
Brak,,Bielsko-Biała - 25 lipca 2025,2025-07-27 16:36:27,https://www.olx.pl/d/oferta/iphone-13-mini-midnight-128gb-CID99-ID16LkY8.html
Brak,1099.0,Bielsko-Biała - Odświeżono dnia 24 lipca 2025,2025-07-27 16:36:27,https://www.olx.pl/d/oferta/iphone-13-czarny-stan-bardzo-dobry-okazja-CID99-ID16F3YH.html
Brak,,Sieroniowice-Grzeboszowice - 24 lipca 2025,2025-07-27 16:36:27,https://www.olx.pl/d/oferta/iphone-13-zielony-nie-aktualne-CID99-ID16KOS1.html
Brak,,Kamyk - 24 lipca 2025,2025-07-27 16:36:27,https://www.olx.pl/d/oferta/iphone-13-mini-128-gb-super-stan-rezerwacja-CID99-ID16KIYc.html
Brak,,Siemianowice Śląskie - 24 lipca 2025,2025-07-27 16:36:27,https://www.olx.pl/d/oferta/telefon-iphone-13-mini-CID99-ID16KIiB.html
Brak,1200.0,Knurów - 24 lipca 2025,2025-07-27 16:36:27,https://www.olx.pl/d/oferta/iphone-13-bialy-128-gb-bardzo-ladny-CID99-ID16KEwV.html
Brak,1200.0,Opole - 24 lipca 2025,2025-07-27 16:36:27,https://www.olx.pl/d/oferta/iphone-13-128gb-85-CID99-ID16Kz6Q.html
Brak,,Brzeziny Nowe - 24 lipca 2025,2025-07-27 16:36:27,https://www.olx.pl/d/oferta/iphone-13-128-gb-pink-CID99-ID16KtMu.html
Brak,1200.0,Pszczyna - Odświeżono dnia 24 lipca 2025,2025-07-27 16:36:27,https://www.olx.pl/d/oferta/sprzedam-iphone-13-stan-doskonaly-CID99-ID16vMtF.html
Brak,,Wodzisław Śląski - 23 lipca 2025,2025-07-27 16:36:27,https://www.olx.pl/d/oferta/iphone-13-mini-128gb-CID99-ID16K0a2.html
Brak,1199.0,Rybnik - Odświeżono dnia 23 lipca 2025,2025-07-27 16:36:27,https://www.olx.pl/d/oferta/jak-nowy-iphone-13-mini-128gb-2-lata-gwarancji-rozne-kolory-CID99-ID14Fvmz.html
Brak,900.0,"Częstochowa, Podjasnogórska - 23 lipca 2025",2025-07-27 16:36:27,https://www.olx.pl/d/oferta/iphone-13-mini-128-gb-rose-gold-CID99-ID16JG09.html
Brak,,Sosnowiec - 23 lipca 2025,2025-07-27 16:36:27,https://www.olx.pl/d/oferta/iphone-13-128gb-80-CID99-ID16JD3C.html
Brak,,Czechowice-Dziedzice - 23 lipca 2025,2025-07-27 16:36:27,https://www.olx.pl/d/oferta/iphone-13-128-gb-bialy-CID99-ID1393XF.html
Brak,1149.0,Bielsko-Biała - 22 lipca 2025,2025-07-27 16:36:27,https://www.olx.pl/d/oferta/iphone-13-niebieski-89-okazja-CID99-ID16IWcr.html
Brak,1100.0,Bielsko-Biała - 22 lipca 2025,2025-07-27 16:36:27,https://www.olx.pl/d/oferta/iphone-13-128gb-zielony-CID99-ID16IKp7.html
Brak,,"Katowice, Ligota-Panewniki - 22 lipca 2025",2025-07-27 16:36:27,https://www.olx.pl/d/oferta/iphone-13-128gb-wymaga-odblokowania-uslugi-apple-CID99-ID145wCG.html
Brak,1100.0,"Bieruń, Bieruń Nowy - 22 lipca 2025",2025-07-27 16:36:27,https://www.olx.pl/d/oferta/iphone-14-128-gb-purple-CID99-ID15UsqA.html
Brak,800.0,Tarnowskie Góry - 21 lipca 2025,2025-07-27 16:36:27,https://www.olx.pl/d/oferta/okazja-na-sprzedaz-iphone-13-128-gb-w-swietnym-stanie-CID99-ID15Vse2.html
Brak,1199.0,"Będzin, Brzozowica - 21 lipca 2025",2025-07-27 16:36:27,https://www.olx.pl/d/oferta/iphone-13-128-od-nowowci-w-etiu-i-ze-szklem-CID99-ID16I6Ti.html
Brak,1099.0,Przystajń - 20 lipca 2025,2025-07-27 16:36:27,https://www.olx.pl/d/oferta/iphone-13-128gb-bateria-83-CID99-ID16HoHC.html
Brak,1200.0,Jastrzębie-Zdrój - 20 lipca 2025,2025-07-27 16:36:27,https://www.olx.pl/d/oferta/iphone-13-w-stanie-idealnym-CID99-ID16GPqk.html
Brak,1100.0,Jaworzno - 19 lipca 2025,2025-07-27 16:36:27,https://www.olx.pl/d/oferta/apple-iphone-13-mini-128-gb-CID99-ID16GFbd.html
Brak,,"Mikołów, Borowa Wieś - 18 lipca 2025",2025-07-27 16:36:27,https://www.olx.pl/d/oferta/iphone-14-pro-uszkodzony-na-czesci-CID99-ID16FBIg.html
Brak,1100.0,Brzeg - 17 lipca 2025,2025-07-27 16:36:27,https://www.olx.pl/d/oferta/iphone-13-128gb-83-CID99-ID16xyV5.html
