Tytuł,Cena,Lokalizacja,Data,Link
(Brak tytułu),1 150 złdo negocjacji,Ruda Śląska - Dzisiaj o 12:31,2025-07-27 16:41:48,https://www.olx.pl/d/oferta/iphone-13-128gb-100-bateria-CID99-ID16Mw5j.html
(Brak tytułu),850 zł,Jastrzębie-Zdrój - Odświeżono Dzisiaj o 14:34,2025-07-27 16:41:48,https://www.olx.pl/d/oferta/iphone-13-mini-128gb-bez-blokad-CID99-ID16H4wT.html
(Brak tytułu),1 100 złdo negocjacji,"Gliwice, Bojków - 21 lipca 2025",2025-07-27 16:41:48,https://www.olx.pl/d/oferta/iphone-13-128gb-midnight-blue-stan-bardzo-dobry-CID99-ID16HOyQ.html
(Brak tytułu),1 000 złdo negocjacji,Chorzów - Dzisiaj o 14:01,2025-07-27 16:41:48,https://www.olx.pl/d/oferta/iphone-13-128-gb-CID99-ID16MAs7.html
(Brak tytułu),700 zł,Tarnowskie Góry - Dzisiaj o 13:55,2025-07-27 16:41:48,https://www.olx.pl/d/oferta/iphone-13-midnigt-128gb-CID99-ID16MA7d.html
(Brak tytułu),1 200 złdo negocjacji,Zabrze - Dzisiaj o 10:19,2025-07-27 16:41:48,https://www.olx.pl/d/oferta/iphone-13-dobry-stan-CID99-ID16ohKN.html
(Brak tytułu),1 100 złdo negocjacji,Radzionków - Dzisiaj o 09:09,2025-07-27 16:41:48,https://www.olx.pl/d/oferta/iphone-13-128-gb-85-kondycji-bateri-CID99-ID16MjEE.html
(Brak tytułu),1 000 złdo negocjacji,Jastrzębie-Zdrój - 26 lipca 2025,2025-07-27 16:41:48,https://www.olx.pl/d/oferta/iphone-13-mini-128gb-CID99-ID16M90M.html
(Brak tytułu),999 zł,Bielsko-Biała - 26 lipca 2025,2025-07-27 16:41:48,https://www.olx.pl/d/oferta/iphone-13-mini-czarny-88-okazja-CID99-ID16M1zF.html
(Brak tytułu),999 zł,Dąbrowa Górnicza - 26 lipca 2025,2025-07-27 16:41:48,https://www.olx.pl/d/oferta/iphone-13-mini-128gb-CID99-ID16LVMq.html
(Brak tytułu),1 190 złdo negocjacji,"Katowice, Bogucice - 26 lipca 2025",2025-07-27 16:41:48,https://www.olx.pl/d/oferta/iphone-13-128gb-czarny-polnoc-90-brak-rat-CID99-ID16LV6E.html
(Brak tytułu),950 złdo negocjacji,"Katowice, Bogucice - 26 lipca 2025",2025-07-27 16:41:48,https://www.olx.pl/d/oferta/sprzedam-iphone-13-CID99-ID16LUdL.html
(Brak tytułu),1 100 złdo negocjacji,Bielsko-Biała - 25 lipca 2025,2025-07-27 16:41:48,https://www.olx.pl/d/oferta/iphone-13-128gb-midnight-CID99-ID16LxpM.html
(Brak tytułu),"1 149,99 zł",Bielsko-Biała - Odświeżono dnia 25 lipca 2025,2025-07-27 16:41:48,https://www.olx.pl/d/oferta/iphone-13-czarny-okazja-CID99-ID16FTFa.html
(Brak tytułu),1 200 zł,Radzionków - 25 lipca 2025,2025-07-27 16:41:48,https://www.olx.pl/d/oferta/iphone-13-128-gb-CID99-ID16LnnQ.html
(Brak tytułu),1 000 złdo negocjacji,Bielsko-Biała - 25 lipca 2025,2025-07-27 16:41:48,https://www.olx.pl/d/oferta/iphone-13-mini-midnight-128gb-CID99-ID16LkY8.html
(Brak tytułu),1 099 zł,Bielsko-Biała - Odświeżono dnia 24 lipca 2025,2025-07-27 16:41:48,https://www.olx.pl/d/oferta/iphone-13-czarny-stan-bardzo-dobry-okazja-CID99-ID16F3YH.html
(Brak tytułu),800 złdo negocjacji,Sieroniowice-Grzeboszowice - 24 lipca 2025,2025-07-27 16:41:48,https://www.olx.pl/d/oferta/iphone-13-zielony-nie-aktualne-CID99-ID16KOS1.html
(Brak tytułu),1 150 złdo negocjacji,Kamyk - 24 lipca 2025,2025-07-27 16:41:48,https://www.olx.pl/d/oferta/iphone-13-mini-128-gb-super-stan-rezerwacja-CID99-ID16KIYc.html
(Brak tytułu),1 199 złdo negocjacji,Siemianowice Śląskie - 24 lipca 2025,2025-07-27 16:41:48,https://www.olx.pl/d/oferta/telefon-iphone-13-mini-CID99-ID16KIiB.html
